iter	Logloss
0	0.6480184263
1	0.6034625123
2	0.5710384961
3	0.5417019354
4	0.5168974259
5	0.4941583211
6	0.4745663606
7	0.4582138276
8	0.4426022556
9	0.4294306788
10	0.4148351632
11	0.4014893278
12	0.3908359934
13	0.382730121
14	0.3737432516
15	0.3677770851
16	0.3619952721
17	0.3553176154
18	0.3494115302
19	0.3456701318
20	0.3423869011
21	0.3381168488
22	0.3351819972
23	0.3309542981
24	0.3293335288
25	0.3278870031
26	0.3244151829
27	0.3219551412
28	0.3199147792
29	0.3181330163
30	0.3166478347
31	0.3147219672
32	0.31349137
33	0.3122270966
34	0.3110838596
35	0.3097278615
36	0.3083675544
37	0.3075795673
38	0.3065964273
39	0.3058218328
40	0.3050838915
41	0.3043860732
42	0.3034303489
43	0.302759178
44	0.3021416236
45	0.3012922007
46	0.3005862426
47	0.2999652562
48	0.2990909976
49	0.2983735097
50	0.297935527
51	0.2974842734
52	0.2965138136
53	0.2960295816
54	0.2956271224
55	0.2948771944
56	0.2943936174
57	0.2940299783
58	0.2935666361
59	0.2930394264
60	0.2926518646
61	0.2920575257
62	0.2915153653
63	0.2909631248
64	0.2901234805
65	0.2898313057
66	0.289245504
67	0.2888922559
68	0.2885206063
69	0.2880944943
70	0.2876157295
71	0.2873138891
72	0.2869472502
73	0.2863120918
74	0.2859422225
75	0.2854425758
76	0.2849536734
77	0.2845619336
78	0.2841370265
79	0.2836689339
80	0.2830878555
81	0.2828181959
82	0.2824093836
83	0.2820505621
84	0.2815893512
85	0.2812045285
86	0.2809129337
87	0.280663528
88	0.2802762463
89	0.2800898835
90	0.2797141376
91	0.2794692429
92	0.2790857684
93	0.2787907392
94	0.2785362421
95	0.2779701975
96	0.2776518227
97	0.2774494947
98	0.2771492026
99	0.2765986461
100	0.2761375098
101	0.2756845637
102	0.2754027298
103	0.2749788194
104	0.2746179795
105	0.274296127
106	0.2739104876
107	0.2736487007
108	0.2734535239
109	0.2732318344
110	0.2727469931
111	0.2724744106
112	0.2720116241
113	0.2713933754
114	0.2709758622
115	0.2707464065
116	0.2704834872
117	0.2700507957
118	0.2696502047
119	0.269487527
120	0.2690765935
121	0.2687949141
122	0.2684536055
123	0.2680795117
124	0.2678127489
125	0.2676125279
126	0.2673282802
127	0.2671001359
128	0.2664763966
129	0.2661444039
130	0.2659693489
131	0.2656897667
132	0.2653072349
133	0.2651151835
134	0.2648450495
135	0.2646768438
136	0.2644530276
137	0.26417278
138	0.2639497539
139	0.2637575338
140	0.2635470579
141	0.263187709
142	0.2629273953
143	0.2623671391
144	0.2620588186
145	0.2617573948
146	0.2613340192
147	0.2610795079
148	0.260764622
149	0.2605080135
150	0.2602653614
151	0.2600684997
152	0.2598485721
153	0.2594190806
154	0.2591508152
155	0.2587240955
156	0.2583559766
157	0.2580853109
158	0.2577259061
159	0.2574714788
160	0.2571826121
161	0.256714574
162	0.2564551992
163	0.2563091804
164	0.2557423795
165	0.2554243315
166	0.2552325131
167	0.2550208637
168	0.2546750179
169	0.2544015213
170	0.2541658054
171	0.2539312392
172	0.253629085
173	0.2532621681
174	0.2531881012
175	0.2528428047
176	0.2524054183
177	0.2520992549
178	0.2518732018
179	0.2516551271
180	0.2514150046
181	0.2509887388
182	0.2506676659
183	0.2503890642
184	0.2500705776
185	0.2498977225
186	0.2495345723
187	0.249344275
188	0.2490843877
189	0.2486907519
190	0.2483802632
191	0.2481309238
192	0.2479374068
193	0.2475918833
194	0.2472801392
195	0.2469962464
196	0.2467403682
197	0.2464465399
198	0.2461889188
199	0.245976603
200	0.2457593075
201	0.2455104195
202	0.2452718161
203	0.2450012084
204	0.2447325813
205	0.2444404353
206	0.2442321633
207	0.2438231282
208	0.243668835
209	0.2434946746
210	0.243305237
211	0.242942637
212	0.2425891124
213	0.2423056374
214	0.2419927819
215	0.24169041
216	0.2415833171
217	0.2412891556
218	0.241187146
219	0.2410031349
220	0.2407588966
221	0.2405178612
222	0.240350417
223	0.2401262752
224	0.2398744143
225	0.2396608142
226	0.2394653199
227	0.2391076223
228	0.2388461444
229	0.2383441335
230	0.2379505502
231	0.2377635178
232	0.2376634059
233	0.2374195076
234	0.2372410396
235	0.2370622737
236	0.2368532702
237	0.2366357967
238	0.2363831514
239	0.2361957474
240	0.2360137714
241	0.2358336931
242	0.2355972294
243	0.2352911106
244	0.2350533642
245	0.2346662551
246	0.2344154983
247	0.2342212642
248	0.2339859224
249	0.2338270686
250	0.2335623155
251	0.2333257544
252	0.2329657859
253	0.2327805661
254	0.2324827755
255	0.23209665
